------------------------------------V 2.0 12/22/2022 03:40:38 - Execution Starts -------------------------------------------
RegistryKeyPath,ValueName,ExpectedValue,PropertyType,CurrentValue,ComparisonResult
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\CabinetState,FullPath,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\CabinetState' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,HideFileExt,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,SeparateProcess,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,PersistBrowsers,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,ShowDriveLettersFirst,0,DWORD,,Failure
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,ShowEncryptCompressedColor,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,ShowInfoTip,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,ShowPreviewHandlers,1,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,AutoCheckSelect,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,SharingWizardOn,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced,TypeAhead,0,DWORD,,Failure - Exception calling "CreateSubKey" with "1" argument(s): "Access to the registry key 'HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Advanced' is denied."
------------------------------------ 12/22/2022 03:40:40 - Execution Ends -------------------------------------------
